cityname,min_o3,max_o3,min_pm25,max_pm25,min_pm10,max_pm10,min_so2,max_so2,min_no2,max_no2,min_co,max_co
,,,,,,,8,5,9,3,,
,,,,,,,,,,,,
,,8,5,9,4,,,,,,,
,,,,,,,,,,8,5,9
5,,,,,,,,,,,,
,,,,,8,5,9,6,,,,
,,,,,,,,,,,,
8,5,9,7,,,,,,,,,
,,,,,,,,8,5,9,8,
,,,,,,,,,,,,
,,,8,5,9,9,,,,,,
,,,,,,,,,,,8,6
0,0,,,,,,,,,,,
,,,,,,8,6,0,1,,,
,,,,,,,,,,,,
,8,6,0,2,,,,,,,,
,,,,,,,,,8,6,0,3
,,,,,,,,,,,,
,,,,8,6,0,4,,,,,
,,,,,,,,,,,,8
6,0,5,,,,,,,,,,
,,,,,,,8,6,0,6,,
,,,,,,,,,,,,
,,8,6,0,7,,,,,,,
,,,,,,,,,,8,6,0
8,,,,,,,,,,,,
,,,,,8,6,0,9,,,,
,,,,,,,,,,,,
8,6,1,0,,,,,,,,,
,,,,,,,,8,6,1,1,
,,,,,,,,,,,,
,,,8,6,1,2,,,,,,
,,,,,,,,,,,8,6
1,3,,,,,,,,,,,
,,,,,,8,6,1,4,,,
,,,,,,,,,,,,
,8,6,1,5,,,,,,,,
,,,,,,,,,8,6,1,6
,,,,,,,,,,,,
,,,,8,6,1,7,,,,,
,,,,,,,,,,,,8
6,1,8,,,,,,,,,,
,,,,,,,8,6,1,9,,
,,,,,,,,,,,,
,,8,6,2,0,,,,,,,
,,,,,,,,,,8,6,2
1,,,,,,,,,,,,
,,,,,8,6,2,2,,,,
,,,,,,,,,,,,
8,6,2,3,,,,,,,,,
,,,,,,,,8,6,2,4,
,,,,,,,,,,,,
,,,8,6,2,5,,,,,,
,,,,,,,,,,,8,6
2,6,,,,,,,,,,,
,,,,,,8,6,2,7,,,
,,,,,,,,,,,,
,8,6,2,8,,,,,,,,
,,,,,,,,,8,6,2,9
,,,,,,,,,,,,
,,,,8,6,3,0,,,,,
,,,,,,,,,,,,8
6,3,1,,,,,,,,,,
,,,,,,,8,6,3,2,,
,,,,,,,,,,,,
,,8,6,3,3,,,,,,,
,,,,,,,,,,8,6,3
4,,,,,,,,,,,,
,,,,,8,6,3,5,,,,
,,,,,,,,,,,,
8,6,3,6,,,,,,,,,
,,,,,,,,8,6,3,7,
,,,,,,,,,,,,
,,,8,6,3,8,,,,,,
,,,,,,,,,,,8,6
3,9,,,,,,,,,,,
,,,,,,8,6,4,0,,,
,,,,,,,,,,,,
,8,6,4,1,,,,,,,,
,,,,,,,,,8,6,4,2
,,,,,,,,,,,,
,,,,8,6,4,3,,,,,
,,,,,,,,,,,,8
6,4,4,,,,,,,,,,
,,,,,,,8,6,4,5,,
,,,,,,,,,,,,
,,8,6,4,6,,,,,,,
,,,,,,,,,,8,6,4
7,,,,,,,,,,,,
,,,,,8,6,4,8,,,,
,,,,,,,,,,,,
8,6,4,9,,,,,,,,,
,,,,,,,,8,6,5,0,
,,,,,,,,,,,,
,,,8,6,5,1,,,,,,
,,,,,,,,,,,8,6
5,2,,,,,,,,,,,
,,,,,,8,6,5,3,,,
,,,,,,,,,,,,
,8,6,5,4,,,,,,,,
,,,,,,,,,8,6,5,5
,,,,,,,,,,,,
,,,,8,6,5,6,,,,,
,,,,,,,,,,,,8
6,5,7,,,,,,,,,,
,,,,,,,8,6,5,8,,
,,,,,,,,,,,,
,,8,6,5,9,,,,,,,
,,,,,,,,,,8,6,6
0,,,,,,,,,,,,
,,,,,8,6,6,1,,,,
,,,,,,,,,,,,
8,6,6,2,,,,,,,,,
,,,,,,,,8,6,6,3,
,,,,,,,,,,,,
,,,8,6,6,4,,,,,,
,,,,,,,,,,,8,6
6,5,,,,,,,,,,,
,,,,,,8,6,6,6,,,
,,,,,,,,,,,,
,8,6,6,7,,,,,,,,
,,,,,,,,,8,6,6,8
,,,,,,,,,,,,
,,,,8,6,6,9,,,,,
,,,,,,,,,,,,8
6,7,0,,,,,,,,,,
,,,,,,,8,6,7,1,,
,,,,,,,,,,,,
,,8,6,7,2,,,,,,,
,,,,,,,,,,8,6,7
3,,,,,,,,,,,,
,,,,,8,6,7,4,,,,
,,,,,,,,,,,,
8,6,7,5,,,,,,,,,
,,,,,,,,8,6,7,6,
,,,,,,,,,,,,
,,,8,6,7,7,,,,,,
,,,,,,,,,,,8,6
7,8,,,,,,,,,,,
,,,,,,8,6,7,9,,,
,,,,,,,,,,,,
,8,6,8,0,,,,,,,,
,,,,,,,,,8,6,8,1
,,,,,,,,,,,,
,,,,8,6,8,2,,,,,
,,,,,,,,,,,,8
6,8,3,,,,,,,,,,
,,,,,,,8,6,8,4,,
,,,,,,,,,,,,
,,8,6,8,5,,,,,,,
,,,,,,,,,,8,6,8
6,,,,,,,,,,,,
,,,,,8,6,8,7,,,,
,,,,,,,,,,,,
8,6,8,8,,,,,,,,,
,,,,,,,,8,6,8,9,
,,,,,,,,,,,,
,,,8,6,9,0,,,,,,
,,,,,,,,,,,8,6
9,1,,,,,,,,,,,
,,,,,,8,6,9,2,,,
,,,,,,,,,,,,
,8,6,9,3,,,,,,,,
,,,,,,,,,8,6,9,4
,,,,,,,,,,,,
,,,,8,6,9,5,,,,,
,,,,,,,,,,,,8
6,9,6,,,,,,,,,,
,,,,,,,8,6,9,7,,
,,,,,,,,,,,,
,,8,6,9,8,,,,,,,
,,,,,,,,,,8,6,9
9,,,,,,,,,,,,
,,,,,8,7,0,0,,,,
,,,,,,,,,,,,
8,7,0,1,,,,,,,,,
,,,,,,,,8,7,0,2,
,,,,,,,,,,,,
,,,8,7,0,3,,,,,,
,,,,,,,,,,,8,7
0,4,,,,,,,,,,,
,,,,,,8,7,0,5,,,
,,,,,,,,,,,,
,8,7,0,6,,,,,,,,
,,,,,,,,,8,7,0,7
,,,,,,,,,,,,
,,,,8,7,0,8,,,,,
,,,,,,,,,,,,8
7,0,9,,,,,,,,,,
,,,,,,,8,7,1,0,,
,,,,,,,,,,,,
,,8,7,1,1,,,,,,,
,,,,,,,,,,8,7,1
2,,,,,,,,,,,,
,,,,,8,7,1,3,,,,
,,,,,,,,,,,,
8,7,1,4,,,,,,,,,
,,,,,,,,8,7,1,5,
,,,,,,,,,,,,
,,,8,7,1,6,,,,,,
,,,,,,,,,,,8,7
1,7,,,,,,,,,,,
,,,,,,8,7,1,8,,,
,,,,,,,,,,,,
,8,7,1,9,,,,,,,,
,,,,,,,,,8,7,2,0
,,,,,,,,,,,,
,,,,8,7,2,1,,,,,
,,,,,,,,,,,,8
7,2,2,,,,,,,,,,
,,,,,,,8,7,2,3,,
,,,,,,,,,,,,
,,8,7,2,4,,,,,,,
,,,,,,,,,,8,7,2
5,,,,,,,,,,,,
,,,,,8,7,2,6,,,,
,,,,,,,,,,,,
8,7,2,7,,,,,,,,,
,,,,,,,,8,7,2,8,
,,,,,,,,,,,,
,,,8,7,2,9,,,,,,
,,,,,,,,,,,8,7
3,0,,,,,,,,,,,
,,,,,,8,7,3,1,,,
,,,,,,,,,,,,
,8,7,3,2,,,,,,,,
,,,,,,,,,8,7,3,3
,,,,,,,,,,,,
,,,,8,7,3,4,,,,,
,,,,,,,,,,,,8
7,3,5,,,,,,,,,,
,,,,,,,8,7,3,6,,
,,,,,,,,,,,,
,,8,7,3,7,,,,,,,
,,,,,,,,,,8,7,3
8,,,,,,,,,,,,
,,,,,8,7,3,9,,,,
,,,,,,,,,,,,
8,7,4,0,,,,,,,,,
,,,,,,,,8,7,4,1,
,,,,,,,,,,,,
,,,8,7,4,2,,,,,,
,,,,,,,,,,,8,7
4,3,,,,,,,,,,,
,,,,,,8,7,4,4,,,
,,,,,,,,,,,,
,8,7,4,5,,,,,,,,
,,,,,,,,,8,7,4,6
,,,,,,,,,,,,
,,,,8,7,4,7,,,,,
,,,,,,,,,,,,8
7,4,8,,,,,,,,,,
,,,,,,,8,7,4,9,,
,,,,,,,,,,,,
,,8,7,5,0,,,,,,,
,,,,,,,,,,8,7,5
1,,,,,,,,,,,,
,,,,,8,7,5,2,,,,
,,,,,,,,,,,,
8,7,5,3,,,,,,,,,
,,,,,,,,8,7,5,4,
,,,,,,,,,,,,
,,,8,7,5,5,,,,,,
,,,,,,,,,,,8,7
5,6,,,,,,,,,,,
,,,,,,8,7,5,7,,,
,,,,,,,,,,,,
,8,7,5,8,,,,,,,,
,,,,,,,,,8,7,5,9
,,,,,,,,,,,,
,,,,8,7,6,0,,,,,
,,,,,,,,,,,,8
7,6,1,,,,,,,,,,
,,,,,,,8,7,6,2,,
,,,,,,,,,,,,
,,8,7,6,3,,,,,,,
,,,,,,,,,,8,7,6
4,,,,,,,,,,,,
,,,,,8,7,6,5,,,,
,,,,,,,,,,,,
8,7,6,6,,,,,,,,,
,,,,,,,,8,7,6,7,
,,,,,,,,,,,,
,,,8,7,6,8,,,,,,
,,,,,,,,,,,8,7
6,9,,,,,,,,,,,
,,,,,,8,7,7,0,,,
,,,,,,,,,,,,
,8,7,7,1,,,,,,,,
,,,,,,,,,8,7,7,2
,,,,,,,,,,,,
,,,,8,7,7,3,,,,,
,,,,,,,,,,,,8
7,7,4,,,,,,,,,,
,,,,,,,8,7,7,5,,
,,,,,,,,,,,,
,,8,7,7,6,,,,,,,
,,,,,,,,,,8,7,7
7,,,,,,,,,,,,
,,,,,8,7,7,8,,,,
,,,,,,,,,,,,
8,7,7,9,,,,,,,,,
,,,,,,,,8,7,8,0,
,,,,,,,,,,,,
,,,8,7,8,1,,,,,,
,,,,,,,,,,,8,7
8,2,,,,,,,,,,,
,,,,,,8,7,8,3,,,
,,,,,,,,,,,,
,8,7,8,4,,,,,,,,
,,,,,,,,,8,7,8,5
,,,,,,,,,,,,
,,,,8,7,8,6,,,,,
,,,,,,,,,,,,8
7,8,7,,,,,,,,,,
,,,,,,,8,7,8,8,,
,,,,,,,,,,,,
,,8,7,8,9,,,,,,,
,,,,,,,,,,8,7,9
0,,,,,,,,,,,,
,,,,,8,7,9,1,,,,
,,,,,,,,,,,,
8,7,9,2,,,,,,,,,
,,,,,,,,8,7,9,3,
,,,,,,,,,,,,
,,,8,7,9,4,,,,,,
,,,,,,,,,,,8,7
9,5,,,,,,,,,,,
,,,,,,8,7,9,6,,,
,,,,,,,,,,,,
,8,7,9,7,,,,,,,,
,,,,,,,,,8,7,9,8
,,,,,,,,,,,,
,,,,8,7,9,9,,,,,
,,,,,,,,,,,,8
8,0,0,,,,,,,,,,
,,,,,,,8,8,0,1,,
,,,,,,,,,,,,
,,8,8,0,2,,,,,,,
,,,,,,,,,,8,8,0
3,,,,,,,,,,,,
,,,,,8,8,0,4,,,,
,,,,,,,,,,,,
8,8,0,5,,,,,,,,,
,,,,,,,,8,8,0,6,
,,,,,,,,,,,,
,,,8,8,0,7,,,,,,
,,,,,,,,,,,8,8
0,8,,,,,,,,,,,
,,,,,,8,8,0,9,,,
,,,,,,,,,,,,
,8,8,1,0,,,,,,,,
,,,,,,,,,8,8,1,1
,,,,,,,,,,,,
,,,,8,8,1,2,,,,,
,,,,,,,,,,,,8
8,1,3,,,,,,,,,,
,,,,,,,8,8,1,4,,
,,,,,,,,,,,,
,,8,8,1,5,,,,,,,
,,,,,,,,,,8,8,1
6,,,,,,,,,,,,
,,,,,8,8,1,7,,,,
,,,,,,,,,,,,
8,8,1,8,,,,,,,,,
,,,,,,,,8,8,1,9,
,,,,,,,,,,,,
,,,8,8,2,0,,,,,,
,,,,,,,,,,,8,8
2,1,,,,,,,,,,,
,,,,,,8,8,2,2,,,
,,,,,,,,,,,,
,8,8,2,3,,,,,,,,
,,,,,,,,,8,8,2,4
,,,,,,,,,,,,
,,,,8,8,2,5,,,,,
,,,,,,,,,,,,8
8,2,6,,,,,,,,,,
,,,,,,,8,8,2,7,,
,,,,,,,,,,,,
,,8,8,2,8,,,,,,,
,,,,,,,,,,8,8,2
9,,,,,,,,,,,,
,,,,,8,8,3,0,,,,
,,,,,,,,,,,,
8,8,3,1,,,,,,,,,
,,,,,,,,8,8,3,2,
,,,,,,,,,,,,
,,,8,8,3,3,,,,,,
,,,,,,,,,,,8,8
3,4,,,,,,,,,,,
,,,,,,8,8,3,5,,,
,,,,,,,,,,,,
,8,8,3,6,,,,,,,,
,,,,,,,,,8,8,3,7
,,,,,,,,,,,,
,,,,8,8,3,8,,,,,
,,,,,,,,,,,,8
8,3,9,,,,,,,,,,
,,,,,,,8,8,4,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
